price,postcode,property_subtype,rooms_number,area,terrace_area,garden_area,land_surface,facades_number,postcode_median_price,building_state_median_price,property_subtype_median_price,building_property_subtype_median_facades,property_subtype_median_facades,house_is_False,house_is_True,equipped_kitchen_has_False,equipped_kitchen_has_True,furnished_False,furnished_True,open_fire_False,open_fire_True,terrace_False,terrace_True,garden_False,garden_True,swimming_pool_has_False,swimming_pool_has_True,region_B,region_F,region_W,building_state_agg_good,building_state_agg_renovated,building_state_agg_to_renovate
395000.0,0.4559608540925266,0.1,0.8333333333333333,0.9221622066823305,,0.0,0.7160440154823566,0.6666666666666667,0.18287937743190663,0.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
620000.0,0.3336298932384341,0.7000000000000001,0.5,0.8538956857613891,0.3508730985162601,0.0,0.5638994375234948,0.6666666666666667,0.12451361867704282,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
550000.0,0.022241992882562275,0.1,0.5,0.7628243530057963,0.21124665464991482,0.0011,,0.6666666666666667,0.29571984435797666,1.0,0.6481688507371262,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
215000.0,0.6739323843416369,0.9,0.5,0.7049391678120656,,0.0,0.7383758142063179,0.6666666666666667,0.09338521400778212,0.0,0.8893403511328657,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
125000.0,0.33585409252669035,0.7000000000000001,0.5,0.7084893186833736,,0.0,0.4911835421048929,0.6666666666666667,0.10116731517509729,0.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
399000.0,0.8285142348754448,0.1,0.8333333333333333,0.8493004336322452,,0.0,0.6385820383406867,0.6666666666666667,0.09727626459143969,1.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
725000.0,0.11321174377224198,0.1,0.6666666666666666,0.941313809463904,,0.0,0.6088500402153815,0.6666666666666667,0.2945330739299611,0.8888888888888888,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
665000.0,0.889679715302491,0.5,0.5,0.7850496151072246,,0.0,0.6956959356313872,0.6666666666666667,0.24435797665369652,1.0,0.5217601434654906,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
218000.0,0.4359430604982206,0.1,0.3333333333333333,0.6236032394624049,0.3168699819748722,0.0,0.6623894716270325,0.6666666666666667,0.12451361867704282,1.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
349000.0,0.08896797153024912,0.7000000000000001,0.5,0.941924363481563,0.5022270390343612,0.0,,0.6666666666666667,0.16723735408560314,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
