"Région","Province","Arrondissement","Commune","Année","Type de bâtiment","Prix médian","Nombre de ventes"
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2018","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",243250,2876
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2018","Maisons avec 4 ou plus de façades (type ouvert)",413750,110
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2018","Appartements",164000,5054
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2018","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",245500,2986
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2019","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",260000,3381
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2019","Maisons avec 4 ou plus de façades (type ouvert)",470000,121
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2019","Appartements",179500,6191
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2019","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",264250,3502
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2020","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2020","Maisons avec 4 ou plus de façades (type ouvert)",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2020","Appartements",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Anvers","2020","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2010","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",250000,63
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2010","Maisons avec 4 ou plus de façades (type ouvert)",414250,22
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2010","Appartements",162000,35
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2010","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",294500,85
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2011","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",257500,50
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2011","Maisons avec 4 ou plus de façades (type ouvert)",,15
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2011","Appartements",180000,38
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2011","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",277500,65
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2012","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",267000,49
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2012","Maisons avec 4 ou plus de façades (type ouvert)",,10
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2012","Appartements",174000,43
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2012","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",290000,59
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2013","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",260000,70
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2013","Maisons avec 4 ou plus de façades (type ouvert)",380000,31
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2013","Appartements",185000,56
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2013","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",290000,101
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2014","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",270000,71
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2014","Maisons avec 4 ou plus de façades (type ouvert)",420000,25
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2014","Appartements",180000,45
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2014","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",310000,96
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2015","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",265000,40
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2015","Maisons avec 4 ou plus de façades (type ouvert)",425000,21
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2015","Appartements",180000,38
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2015","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",316000,61
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2016","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",267500,71
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2016","Maisons avec 4 ou plus de façades (type ouvert)",440000,17
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2016","Appartements",179250,50
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2016","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",305000,88
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2017","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",281055,54
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2017","Maisons avec 4 ou plus de façades (type ouvert)",464000,22
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2017","Appartements",182500,46
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2017","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",320000,76
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2018","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",331000,62
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2018","Maisons avec 4 ou plus de façades (type ouvert)",472500,36
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2018","Appartements",219000,37
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2018","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",370000,98
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2019","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",329000,88
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2019","Maisons avec 4 ou plus de façades (type ouvert)",457500,26
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2019","Appartements",214500,75
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2019","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",360000,114
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2020","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2020","Maisons avec 4 ou plus de façades (type ouvert)",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2020","Appartements",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boechout","2020","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2010","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",169500,165
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2010","Maisons avec 4 ou plus de façades (type ouvert)",,3
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2010","Appartements",128905,55
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2010","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",170000,168
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2011","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",170000,182
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2011","Maisons avec 4 ou plus de façades (type ouvert)",,3
